"Hop City Barking Squirrel Lager","Hop City Brewing Co.","Beer","Amber Lager",3.2,473,4.8,"Ontario, Canada"
"Daura Damm","Grupo Damm","Beer","Amber Lager",15.55,1980,5.4,"Spain"
"Mill Street 100th Meridian Organic Amber Lager","Trillium Beverage Inc.","Beer","Amber Lager",3.4,473,5.0,"Ontario, Canada"
"Thornbury Village Ladder Run Amber Lager","Thornbury Village Cidery Inc.","Beer","Amber Lager",2.95,473,4.8,"Ontario, Canada"
"Woodhouse Lager","Woodhouse Brewing Co","Beer","Amber Lager",3.15,473,5.0,"Ontario, Canada"
"Ace Hill Vienna Lager","Ace Hill Beer Company","Beer","Amber Lager",3.25,473,5.0,"Ontario, Canada"
"Fenelon Falls Brewing Co. Vienna Lager","Fenelon Falls Brewing Co.","Beer","Amber Lager",3.5,473,5.0,"Ontario, Canada"
"Carling Old Vienna","Molson's Brewery Of Canada Limited","Beer","Amber Lager",28.95,5325,5.0,"Ontario, Canada"
"Sleeman Honey Brown Lager","Sleeman Brewing &amp; Malting Co","Beer","Amber Lager",27.95,4092,5.2,"Ontario, Canada"
"Carling Old Vienna","Molson's Brewery Of Canada Limited","Beer","Amber Lager",39.95,8184,5.0,"Ontario, Canada"
"Hofbrau Oktoberfestbier","Staatliches Hofbrauhaus In Munchen","Beer","Amber Lager",3.75,500,6.3,"Germany"
"Samuel Adams Boston Lager","Boston Beer Company","Beer","Amber Lager",3.25,473,4.8,"Massachusetts, USA"
"Walkerville Honest Lager","Walkerville Brewery","Beer","Amber Lager",3.0,473,5.0,"Ontario, Canada"
"Anderson Craft Ales - Autumn","Anderson Craft Ales","Beer","Amber Lager",14.95,2130,5.5,"Ontario, Canada"
"Caledon Hills Brewing Co. Premium Lager","Caledon Hills Brewing Company","Beer","Amber Lager",3.35,473,5.0,"Ontario, Canada"
"Waterloo Festbier","The Brick Brewing Co","Beer","Amber Lager",2.95,473,5.0,"Ontario, Canada"
"Firestone Walker Lager","Firestone Walker","Beer","Amber Lager",8.45,2130,4.5,"California, USA"
"Waterloo Premium Amber","The Brick Brewing Co","Beer","Amber Lager",2.95,473,6.8,"Ontario, Canada"
"Brock Street Brewing Munich Lager","Brock Street Brewing","Beer","Amber Lager",3.3,473,6.0,"Ontario, Canada"
"Clifford Brewing Chain Link Lager","Clifford Brewing Company","Beer","Amber Lager",3.45,473,5.0,"Ontario, Canada"
"Sons of Kent Brewing Festbier Oktoberfest","Sons Of Kent","Beer","Amber Lager",3.5,473,5.5,"Ontario, Canada"
"The Grove Brewing 1933 Oktoberfest Lager","The Grove Brewery","Beer","Amber Lager",3.3,473,5.0,"Ontario, Canada"
